Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size
2687409660,2017-01-04,Software Engineer,Software Engineer,- Remote,Full-time,Entry level,2,"database, javascript, agile, html5, css, c, java",United States,,,,4,Duck Creek Technologies,Computer Software,"1,001-5,000 employees"
2675397650,2017-01-04,Software Engineer,"Software Engineer, Fullstack",Consumer Banking,Full-time,Entry level,3,"python, node.js, mongodb, go, coding, postgres",United States,,,,5,Blend,Computer Software,"501-1,000 employees"
2690938927,2017-01-04,Data Engineer,Senior Data Engineer,Full-time,Contract,Mid-Senior level,0,"cloud, aws, azure","Athens, GA",,,,,Toptal,Internet,"1,001-5,000 employees"
2691393633,2017-01-04,Data Scientist,Senior Data Scientist,,Full-time,Associate,1,"cloud, python, hadoop, gcp, spark, aws, machine_learning",United States,,,,16,Varo Bank,Banking,"501-1,000 employees"
2687291186,2017-01-04,Data Analyst,Hr Data Analyst,,Full-time,Associate,4,"microsoft, excel",United States,,,,159,Hyland,Computer Software,"1,001-5,000 employees"
2681101425,2017-01-04,Software Engineer,Cyber Software Engineer/Application Developer With Security Clearance,,Full-time,Entry level,2,"oracle, database, microsoft, unix, ibm, java, shell, mysql, programming, xml, sql, server, c","Montgomery, AL",,,,,ClearanceJobs,Defense & Space,11-50 employees
2677491846,2017-01-05,Data Scientist,Data Scientist-Remote,,Full-time,Mid-Senior level,4,"r, python, programming, sql, ai, machine_learning","Portland, OR",,,,5,Jobot,Staffing & Recruiting,201-500 employees
2640774129,2017-01-05,Senior Analyst,"Senior Analyst, Site Analytics",,Full-time,Associate,2,"database, word, python, bi, r, powerpoint, outlook, tableau, sql, excel",United States,,,,5,Merkle,Marketing & Advertising,"5,001-10,000 employees"
2642809672,2017-01-05,Software Development Engineer,Senior Software Development Engineer In Test,,Full-time,Mid-Senior level,4,"javascript, agile, python, scrum, programming, php, c, ci/cd, java, selenium, swift, coding","San Francisco, CA",,,,32,Wayfair,Retail,"10,001+ employees"
2702104959,2017-01-05,Developer,Sitecore Developer,Remote,Full-time,Mid-Senior level,7,"json, sql, server, c","Oakland, CA",,,,,Orbit Recruitment Group,Staffing & Recruiting,1-10 employees
2717475163,2017-01-05,Software Engineer,Software Engineer,IAM Federations (remote),Full-time,Mid-Senior level,5,"javascript, node.js, mongodb, java, postgres","Atlanta, GA",,,,1,Auth0,Information Technology & Services,"501-1,000 employees"
2418220431,2017-01-05,Software Engineer,Software Engineer,Backend - Boundary,Full-time,Entry level,1,"cloud, golang, programming","Austin, TX",,,,16,HashiCorp,Computer Software,"1,001-5,000 employees"
2675377873,2017-01-05,Product Manager,"Product Manager, Developer Education Platform",,Full-time,Entry level,4,"microsoft, cloud, aws, devops, azure","New Orleans, LA",,,,,HashiCorp,Computer Software,"1,001-5,000 employees"
2716765009,2017-01-05,Data Engineer,Data Engineer,,Contract,Mid-Senior level,6,"back-end, oracle, saas, java, javascript, mysql, python, programming, linux, sql",United States,,,,6,"TalentBurst, an Inc 5000 company",Staffing & Recruiting,"1,001-5,000 employees"
2726599079,2017-01-05,Business Analyst,Business Analyst,,Contract,Mid-Senior level,6,"scrum, gdpr, agile, tableau, snowflake, bi, ai, machine_learning",Raleigh-Durham-Chapel Hill Area,,,,73,ettain group,Staffing & Recruiting,201-500 employees
2607111073,2017-01-05,Software Engineer,Software Engineer,Infrastructure as Code,Full-time,Associate,3,"r, saas, twilio, unix, paas",United States,,,,26,Twilio,Internet,"5,001-10,000 employees"
2677460482,2017-01-06,Software Engineer,Staff Software Engineer,(REMOTE) SaaS Management,Full-time,Associate,4,"graphql, datadog, python, docker, saas, redis, golang, postgres","Iowa, United States",,,,,SailPoint,Computer Software,"1,001-5,000 employees"
2640356615,2017-01-06,Data Engineer,Lead Data Engineer,,Full-time,Mid-Senior level,6,"git, scrum, airflow, cloud, java, pyspark, agile, python, tableau, etl, mongo, cognos, hadoop, nosql, bi, powerbi","Chicago, IL",,,,,84.51˚,Management Consulting,"1,001-5,000 employees"
2745608351,2017-01-06,Financial Analyst,"Senior Financial Analyst, Strategic Finance",,Full-time,Mid-Senior level,2,"saas, excel","Palo Alto, CA",,,,20,Jumio Corporation,Information Technology & Services,201-500 employees
2682293940,2017-01-06,Software Engineer,Software Engineer -Remote,,Full-time,Entry level,0,"database, agile, scrum, programming, c, microsoft, sql, c++, coding","Greenwood Village, CO",58000,88000,yr,,MiTek,Construction,"5,001-10,000 employees"
